epoch,lambda_h2_epoch,lambda_h2_step,lr-Adam,step,train_h2_total_epoch,train_h2_total_step,train_loss_epoch,train_loss_step,train_recon_loss_epoch,train_recon_loss_step,val_h2_total_gcta,val_h2_total_proxy,val_loss,val_recon_loss
,,,0.0005248074602497723,0,,,,,,,,,,
0,,0.0,,19,,0.0,,0.38714399933815,,0.38714399933815,,,,
0,,0.0,,39,,0.0,,0.3455416262149811,,0.3455416262149811,,,,
0,,0.0,,59,,-0.0,,0.33465808629989624,,0.33465808629989624,,,,
0,,0.0,,79,,0.0,,0.33321431279182434,,0.33321431279182434,,,,
0,,0.0,,99,,-0.0,,0.31514865159988403,,0.31514865159988403,,,,
0,,0.0,,119,,0.0,,0.3144850730895996,,0.3144850730895996,,,,
0,,0.0,,139,,0.0,,0.30925047397613525,,0.30925047397613525,,,,
0,,0.0,,159,,0.0,,0.31832024455070496,,0.31832024455070496,,,,
0,,0.0,,179,,-0.0,,0.3010973632335663,,0.3010973632335663,,,,
0,,0.0,,199,,-0.0,,0.29650580883026123,,0.29650580883026123,,,,
0,,0.0,,219,,0.0,,0.307827889919281,,0.307827889919281,,,,
0,,,,222,,,,,,,35.291961669921875,14.773205757141113,0.3101446032524109,0.3101446032524109
0,0.0,,,222,0.0,,0.32776135206222534,,0.32776135206222534,,,,,
,,,0.0005248074602497723,223,,,,,,,,,,
1,,0.0,,239,,0.0,,0.2912482023239136,,0.2912482023239136,,,,
1,,0.0,,259,,0.0,,0.2931414246559143,,0.2931414246559143,,,,
1,,0.0,,279,,-0.0,,0.2877649664878845,,0.2877649664878845,,,,
1,,0.0,,299,,-0.0,,0.2968491315841675,,0.2968491315841675,,,,
1,,0.0,,319,,0.0,,0.29815149307250977,,0.29815149307250977,,,,
1,,0.0,,339,,0.0,,0.2887638807296753,,0.2887638807296753,,,,
1,,0.0,,359,,-0.0,,0.2869704067707062,,0.2869704067707062,,,,
1,,0.0,,379,,0.0,,0.3042066693305969,,0.3042066693305969,,,,
1,,0.0,,399,,0.0,,0.29407110810279846,,0.29407110810279846,,,,
1,,0.0,,419,,-0.0,,0.295783668756485,,0.295783668756485,,,,
1,,0.0,,439,,-0.0,,0.28304171562194824,,0.28304171562194824,,,,
1,,,,445,,,,,,,34.53825759887695,15.114225387573242,0.2975814938545227,0.29758143424987793
1,0.0,,,445,0.0,,0.2966576814651489,,0.2966576814651489,,,,,
,,,0.0005248074602497723,446,,,,,,,,,,
2,,0.004000000189989805,,459,,13.36043643951416,,0.2397788017988205,,0.29322054982185364,,,,
2,,0.004000000189989805,,479,,13.362553596496582,,0.23335446417331696,,0.2868046760559082,,,,
2,,0.004000000189989805,,499,,13.423761367797852,,0.24096912145614624,,0.2946641743183136,,,,
2,,0.004000000189989805,,519,,13.427946090698242,,0.2419288009405136,,0.29564058780670166,,,,
2,,0.004000000189989805,,539,,13.388620376586914,,0.23753252625465393,,0.29108700156211853,,,,
2,,0.004000000189989805,,559,,13.402081489562988,,0.23368945717811584,,0.287297785282135,,,,
2,,0.004000000189989805,,579,,13.346823692321777,,0.2232455164194107,,0.27663281559944153,,,,
2,,0.004000000189989805,,599,,13.411056518554688,,0.22574757039546967,,0.2793917953968048,,,,
2,,0.004000000189989805,,619,,14.221227645874023,,0.2481881082057953,,0.3050730228424072,,,,
2,,0.004000000189989805,,639,,14.218555450439453,,0.22823479771614075,,0.2851090133190155,,,,
2,,0.004000000189989805,,659,,14.25334358215332,,0.23648087680339813,,0.29349425435066223,,,,
2,,,,668,,,,,,,34.19414520263672,15.39143180847168,0.23728148639202118,0.29884716868400574
2,0.003999988082796335,,,668,13.628625869750977,,0.2347206175327301,,0.28923505544662476,,,,,
,,,0.0005248074602497723,669,,,,,,,,,,
3,,0.00800000037997961,,679,,14.212505340576172,,0.17455123364925385,,0.28825128078460693,,,,
3,,0.00800000037997961,,699,,14.266755104064941,,0.17205211520195007,,0.286186158657074,,,,
3,,0.00800000037997961,,719,,14.233882904052734,,0.1855970025062561,,0.299468070268631,,,,
3,,0.00800000037997961,,739,,14.211697578430176,,0.16459736227989197,,0.2782909572124481,,,,
3,,0.00800000037997961,,759,,14.25147819519043,,0.1799810528755188,,0.29399287700653076,,,,
3,,0.00800000037997961,,779,,14.231563568115234,,0.17003695666790009,,0.2838894724845886,,,,
3,,0.00800000037997961,,799,,14.233983039855957,,0.17413410544395447,,0.2880059778690338,,,,
3,,0.00800000037997961,,819,,14.983752250671387,,0.16000984609127045,,0.2798798680305481,,,,
3,,0.00800000037997961,,839,,14.947704315185547,,0.16951286792755127,,0.2890945076942444,,,,
3,,0.00800000037997961,,859,,15.01360034942627,,0.15647631883621216,,0.2765851318836212,,,,
3,,0.00800000037997961,,879,,14.990205764770508,,0.16000011563301086,,0.2799217700958252,,,,
3,,,,891,,,,,,,34.30329513549805,15.602893829345703,0.17535877227783203,0.3001820147037506
3,0.00799997616559267,,,891,14.538130760192871,,0.16824261844158173,,0.28454771637916565,,,,,
,,,0.0005248074602497723,892,,,,,,,,,,
4,,0.012000000104308128,,899,,15.047179222106934,,0.09876899421215057,,0.2793351411819458,,,,
4,,0.012000000104308128,,919,,15.074557304382324,,0.08694793283939362,,0.2678426206111908,,,,
4,,0.012000000104308128,,939,,15.03049087524414,,0.1019311249256134,,0.2822970151901245,,,,
4,,0.012000000104308128,,959,,15.09018611907959,,0.10015343129634857,,0.2812356650829315,,,,
4,,0.012000000104308128,,979,,15.043498039245605,,0.11825086176395416,,0.2987728416919708,,,,
4,,0.012000000104308128,,999,,14.989550590515137,,0.0870482474565506,,0.26692286133766174,,,,
4,,0.012000000104308128,,1019,,17.081506729125977,,0.07793495059013367,,0.2829130291938782,,,,
4,,0.012000000104308128,,1039,,17.090078353881836,,0.07614432275295258,,0.2812252640724182,,,,
4,,0.012000000104308128,,1059,,17.07424545288086,,0.07325218617916107,,0.27814313769340515,,,,
4,,0.012000000104308128,,1079,,17.10580825805664,,0.07551872730255127,,0.2807884216308594,,,,
4,,0.012000000104308128,,1099,,17.052162170410156,,0.06803183257579803,,0.2726577818393707,,,,
4,,,,1114,,,,,,,34.32020568847656,15.622708320617676,0.10411762446165085,0.29159015417099
4,0.01199998240917921,,,1114,16.07703971862793,,0.08704359084367752,,0.2799680531024933,,,,,
,,,0.0005248074602497723,1115,,,,,,,,,,
5,,0.01600000075995922,,1119,,17.1221923828125,,0.00530630350112915,,0.27926138043403625,,,,
5,,0.01600000075995922,,1139,,17.094261169433594,,0.004188448190689087,,0.2776966392993927,,,,
5,,0.01600000075995922,,1159,,17.114177703857422,,-0.0004311501979827881,,0.27339571714401245,,,,
5,,0.01600000075995922,,1179,,17.186880111694336,,-0.001529783010482788,,0.2734602987766266,,,,
5,,0.01600000075995922,,1199,,17.218843460083008,,0.003949254751205444,,0.27945077419281006,,,,
5,,0.01600000075995922,,1219,,20.21590805053711,,-0.053678154945373535,,0.2697764039039612,,,,
5,,0.01600000075995922,,1239,,20.179101943969727,,-0.041987985372543335,,0.28087764978408813,,,,
5,,0.01600000075995922,,1259,,20.248882293701172,,-0.03703984618186951,,0.2869422733783722,,,,
5,,0.01600000075995922,,1279,,20.164783477783203,,-0.06158632040023804,,0.2610502243041992,,,,
5,,0.01600000075995922,,1299,,20.19024658203125,,-0.05004018545150757,,0.27300378680229187,,,,
5,,0.01600000075995922,,1319,,20.245149612426758,,-0.04747527837753296,,0.2764471173286438,,,,
5,,,,1337,,,,,,,34.963985443115234,15.987658500671387,0.034480173140764236,0.2902827560901642
5,0.01599995233118534,,,1337,19.016035079956055,,-0.02848513238132,,0.27577149868011475,,,,,
,,,0.0005248074602497723,1338,,,,,,,,,,
6,,0.019999999552965164,,1339,,20.199169158935547,,-0.1227957010269165,,0.28118768334388733,,,,
6,,0.019999999552965164,,1359,,20.260982513427734,,-0.14380651712417603,,0.2614131271839142,,,,
6,,0.019999999552965164,,1379,,20.268646240234375,,-0.13034003973007202,,0.2750328779220581,,,,
6,,0.019999999552965164,,1399,,20.22266387939453,,-0.13099929690361023,,0.2734539806842804,,,,
6,,0.019999999552965164,,1419,,23.5043888092041,,-0.20604053139686584,,0.264047235250473,,,,
6,,0.019999999552965164,,1439,,23.53665542602539,,-0.20706462860107422,,0.2636684775352478,,,,
6,,0.019999999552965164,,1459,,23.44681167602539,,-0.2080313265323639,,0.2609049081802368,,,,
6,,0.019999999552965164,,1479,,23.501766204833984,,-0.19962093234062195,,0.2704143822193146,,,,
6,,0.019999999552965164,,1499,,23.481801986694336,,-0.18189477920532227,,0.2877412438392639,,,,
6,,0.019999999552965164,,1519,,23.437231063842773,,-0.20219027996063232,,0.2665543258190155,,,,
6,,0.019999999552965164,,1539,,23.507213592529297,,-0.19755932688713074,,0.2725849449634552,,,,
6,,0.019999999552965164,,1559,,23.543916702270508,,-0.1966339647769928,,0.27424436807632446,,,,
6,,,,1560,,,,,,,34.643341064453125,15.911599159240723,-0.027036303654313087,0.29119575023651123
6,0.020000023767352104,,,1560,22.57962417602539,,-0.1798161268234253,,0.27177634835243225,,,,,
,,,0.0005248074602497723,1561,,,,,,,,,,
7,,0.019999999552965164,,1579,,23.582033157348633,,-0.1940651834011078,,0.27757546305656433,,,,
7,,0.019999999552965164,,1599,,23.61672019958496,,-0.19943684339523315,,0.27289754152297974,,,,
7,,0.019999999552965164,,1619,,26.665311813354492,,-0.2744596302509308,,0.25884661078453064,,,,
7,,0.019999999552965164,,1639,,26.641817092895508,,-0.2609536945819855,,0.2718826234340668,,,,
7,,0.019999999552965164,,1659,,26.649377822875977,,-0.2709776759147644,,0.262009859085083,,,,
7,,0.019999999552965164,,1679,,26.650739669799805,,-0.27170416712760925,,0.2613106071949005,,,,
7,,0.019999999552965164,,1699,,26.610960006713867,,-0.2717132866382599,,0.26050588488578796,,,,
7,,0.019999999552965164,,1719,,26.698083877563477,,-0.27634090185165405,,0.25762075185775757,,,,
7,,0.019999999552965164,,1739,,26.641109466552734,,-0.2711610198020935,,0.261661171913147,,,,
7,,0.019999999552965164,,1759,,26.73004913330078,,-0.27228012681007385,,0.2623208463191986,,,,
7,,0.019999999552965164,,1779,,26.587162017822266,,-0.2681839168071747,,0.2635593116283417,,,,
7,,,,1783,,,,,,,34.624114990234375,15.710147857666016,-0.015841685235500336,0.29836124181747437
