epoch,lambda_h2_epoch,lambda_h2_step,lr-Adam,step,train_h2_h_epoch,train_h2_h_step,train_h2_r_epoch,train_h2_r_step,train_loss_epoch,train_loss_step,train_recon_loss_epoch,train_recon_loss_step,val_h2_total_gcta,val_h2_total_proxy,val_loss,val_recon_loss
8,,0.019999999552965164,,1799,,28.82674217224121,,-5.048632621765137,,-0.4209347367286682,,0.2565727233886719,,,,
8,,0.019999999552965164,,1819,,35.91771697998047,,-11.342344284057617,,-0.6752024292945862,,0.26999878883361816,,,,
8,,0.019999999552965164,,1839,,35.885501861572266,,-11.358831405639648,,-0.6879314184188843,,0.25695520639419556,,,,
8,,0.019999999552965164,,1859,,35.90879440307617,,-11.350057601928711,,-0.6808744072914124,,0.26430264115333557,,,,
8,,0.019999999552965164,,1879,,35.95598602294922,,-11.37183952331543,,-0.6836725473403931,,0.2628839313983917,,,,
8,,0.019999999552965164,,1899,,36.04804992675781,,-11.387720108032227,,-0.6776901483535767,,0.27102524042129517,,,,
8,,0.019999999552965164,,1919,,35.89437484741211,,-11.341285705566406,,-0.6818570494651794,,0.262856125831604,,,,
8,,0.019999999552965164,,1939,,36.03352737426758,,-11.36019229888916,,-0.6775261759757996,,0.2703481912612915,,,,
8,,0.019999999552965164,,1959,,35.996421813964844,,-11.303118705749512,,-0.6768526434898376,,0.2691381573677063,,,,
8,,0.019999999552965164,,1979,,35.883785247802734,,-11.317185401916504,,-0.671656608581543,,0.2723627984523773,,,,
8,,0.019999999552965164,,1999,,36.04079055786133,,-11.36286449432373,,-0.6727728843688965,,0.27530014514923096,,,,
8,,,,2006,,,,,,,,,32.64634323120117,14.554885864257812,0.005465222988277674,0.29656291007995605
8,0.020000023767352104,,,2006,35.569244384765625,,-10.996041297912598,,-0.6635901927947998,,0.267715722322464,,,,,
,,,0.0005248074602497723,2007,,,,,,,,,,,,
9,,0.019999999552965164,,2019,,42.92015838623047,,-16.757869720458984,,-0.9361883997917175,,0.2573721408843994,,,,
9,,0.019999999552965164,,2039,,42.86076736450195,,-16.79311180114746,,-0.9322373270988464,,0.26084020733833313,,,,
9,,0.019999999552965164,,2059,,42.88798904418945,,-16.77819061279297,,-0.9318455457687378,,0.2614780366420746,,,,
9,,0.019999999552965164,,2079,,42.93034362792969,,-16.802642822265625,,-0.9269737601280212,,0.2676859498023987,,,,
9,,0.019999999552965164,,2099,,42.94234085083008,,-16.823516845703125,,-0.9320857524871826,,0.2632313668727875,,,,
9,,0.019999999552965164,,2119,,42.94889831542969,,-16.758222579956055,,-0.9324182271957397,,0.26172420382499695,,,,
9,,0.019999999552965164,,2139,,42.934879302978516,,-16.873531341552734,,-0.9356207847595215,,0.2605474591255188,,,,
9,,0.019999999552965164,,2159,,42.96906280517578,,-16.794021606445312,,-0.9400304555892944,,0.25523120164871216,,,,
9,,0.019999999552965164,,2179,,42.86863327026367,,-16.84993553161621,,-0.9251956343650818,,0.2691757082939148,,,,
9,,0.019999999552965164,,2199,,42.92993927001953,,-16.972198486328125,,-0.9354029893875122,,0.2626396715641022,,,,
9,,0.019999999552965164,,2219,,48.93031692504883,,-23.033279418945312,,-1.1763497591018677,,0.26292216777801514,,,,
9,,,,2229,,,,,,,,,32.31751251220703,14.374265670776367,0.0015780823305249214,0.2890634536743164
9,0.020000023767352104,,,2229,43.69025421142578,,-17.628398895263672,,-0.9628729820251465,,0.263499915599823,,,,,
,,,0.0005248074602497723,2230,,,,,,,,,,,,
10,,0.019999999552965164,,2239,,48.948116302490234,,-23.00121307373047,,-1.1852014064788818,,0.253785103559494,,,,
10,,0.019999999552965164,,2259,,48.92714309692383,,-23.020776748657227,,-1.1867940425872803,,0.2521643042564392,,,,
10,,0.019999999552965164,,2279,,48.94483947753906,,-22.946460723876953,,-1.1930863857269287,,0.2447395920753479,,,,
10,,0.019999999552965164,,2299,,49.09367370605469,,-23.150856018066406,,-1.1850171089172363,,0.2598734200000763,,,,
10,,0.019999999552965164,,2319,,49.0225830078125,,-23.081178665161133,,-1.1797512769699097,,0.26232388615608215,,,,
10,,0.019999999552965164,,2339,,49.0004997253418,,-22.96904754638672,,-1.1857588291168213,,0.2536320984363556,,,,
10,,0.019999999552965164,,2359,,48.93828582763672,,-23.048606872558594,,-1.1821376085281372,,0.25760018825531006,,,,
10,,0.019999999552965164,,2379,,48.949275970458984,,-23.05274200439453,,-1.1659858226776123,,0.2740544378757477,,,,
10,,0.019999999552965164,,2399,,48.97871780395508,,-22.995769500732422,,-1.1767401695251465,,0.26274949312210083,,,,
10,,0.019999999552965164,,2419,,52.65219497680664,,-28.06633186340332,,-1.3470463752746582,,0.2673240602016449,,,,
10,,0.019999999552965164,,2439,,52.673370361328125,,-28.0622501373291,,-1.3397315740585327,,0.2749808132648468,,,,
10,,,,2452,,,,,,,,,31.848388671875,14.36217212677002,0.027071423828601837,0.31431490182876587
10,0.020000023767352104,,,2452,49.81871795654297,,-24.196735382080078,,-1.222717523574829,,0.25759121775627136,,,,,
,,,0.0005248074602497723,2453,,,,,,,,,,,,
11,,0.019999999552965164,,2459,,52.61236572265625,,-27.991867065429688,,-1.351491093635559,,0.2605935335159302,,,,
11,,0.019999999552965164,,2479,,52.679317474365234,,-28.088970184326172,,-1.3658299446105957,,0.24953579902648926,,,,
11,,0.019999999552965164,,2499,,52.7262077331543,,-28.177858352661133,,-1.3754346370697021,,0.24264667928218842,,,,
11,,0.019999999552965164,,2519,,52.59794235229492,,-28.06557846069336,,-1.3660048246383667,,0.2472655028104782,,,,
